Name,Cost,Type,Effect
Angelic Gift,{1}{W},Enchantment â€” Aura,"Enchant creature When Angelic Gift enters the battlefield, draw a card. Enchanted creature has flying."
Angelic Guardian,{4}{W}{W},Creature â€” Angel,"Flying (This creature can't be blocked except by creatures with flying or reach.) Whenever one or more creatures you control attack, they gain indestructible until end of turn. (Damage and effects that say ""destroy"" don't destroy them.)"
Angrath's Rampage,{B}{R},Sorcery,Choose one â€” â€¢ Target player sacrifices an artifact. â€¢ Target player sacrifices a creature. â€¢ Target player sacrifices a planeswalker.
"Angrath, Captain of Chaos",{2}{B/R}{B/R},Legendary Planeswalker â€” Angrath,"Creatures you control have menace. [âˆ’2]: Amass 2. (Put two +1/+1 counters on an Army you control. If you don't control one, create a 0/0 black Zombie Army creature token first.)"
Animating Faerie,{2}{U},Creature â€” Faerie,Flying
Anticipate,{1}{U},Instant,Look at the top three cards of your library. Put one of them into your hand and the rest on the bottom of your library in any order.
Anvilwrought Raptor,{4},Artifact Creature â€” Bird,Flying First strike (This creature deals combat damage before creatures without first strike.)
Apostle of Purifying Light,{1}{W},Creature â€” Human Cleric,"Protection from black (This creature can't be blocked, targeted, dealt damage, enchanted, or equipped by anything black.) {2}: Exile target card from a graveyard."
Applied Biomancy,{G}{U},Instant,Choose one or both â€” â€¢ Target creature gets +1/+1 until end of turn. â€¢ Return target creature to its owner's hand.
Arboreal Grazer,{G},Creature â€” Beast,"Reach When Arboreal Grazer enters the battlefield, you may put a land card from your hand onto the battlefield tapped."
Arboretum Elemental,{7}{G}{G},Creature â€” Elemental,Convoke (Your creatures can help cast this spell. Each creature you tap while casting this spell pays for {1} or one mana of the creature's color.) Hexproof (This creature can't be the target of spells or abilities your opponents control.)
Arcane Signet,{2},Artifact,{T}: Add one mana of any color in your commander's color identity.
Arcanist's Owl,{W/U}{W/U}{W/U}{W/U},Artifact Creature â€” Bird,"Flying When Arcanist's Owl enters the battlefield, look at the top four cards of your library. You may reveal an artifact or enchantment card from among them and put it into your hand. Put the rest on the bottom of your library in a random order."
Archon of Absolution,{3}{W},Creature â€” Archon,"Flying Protection from white (This creature can't be blocked, targeted, dealt damage, enchanted, or equipped by anything white.) Creatures can't attack you or a planeswalker you control unless their controller pays {1} for each of those creatures."
Archway Angel,{5}{W},Creature â€” Angel,"Flying When Archway Angel enters the battlefield, you gain 2 life for each Gate you control."
Arclight Phoenix,{3}{R},Creature â€” Phoenix,"Flying, haste At the beginning of combat on your turn, if you've cast three or more instant and sorcery spells this turn, return Arclight Phoenix from your graveyard to the battlefield."
Ardenvale Paladin,{3}{W},Creature â€” Human Knight,"Adamant â€” If at least three white mana was spent to cast this spell, Ardenvale Paladin enters the battlefield with a +1/+1 counter on it."
Ardenvale Tactician,{1}{W}{W},Creature â€” Human Knight,Flying
Arlinn's Wolf,{2}{G},Creature â€” Wolf,Arlinn's Wolf can't be blocked by creatures with power 2 or less.
"Arlinn, Voice of the Pack",{4}{G}{G},Legendary Planeswalker â€” Arlinn,Each creature you control that's a Wolf or a Werewolf enters the battlefield with an additional +1/+1 counter on it. [âˆ’2]: Create a 2/2 green Wolf creature token.
Arrester's Admonition,{2}{U},Instant,"Return target creature to its owner's hand. Addendum â€” If you cast this spell during your main phase, draw a card."
Arrester's Zeal,{W},Instant,"Target creature gets +2/+2 until end of turn. Addendum â€” If you cast this spell during your main phase, that creature gains flying until end of turn."
Artful Takedown,{2}{U}{B},Instant,Choose one or both â€” â€¢ Tap target creature. â€¢ Target creature gets -2/-4 until end of turn.
Ashiok's Skulker,{4}{U},Creature â€” Nightmare,{3}{U}: Ashiok's Skulker can't be blocked this turn.
"Ashiok, Dream Render",{1}{U/B}{U/B},Legendary Planeswalker â€” Ashiok,Spells and abilities your opponents control can't cause their controller to search their library. [âˆ’1]: Target player puts the top four cards of their library into their graveyard. Then exile each opponent's graveyard.
Assassin's Trophy,{B}{G},Instant,"Destroy target permanent an opponent controls. Its controller may search their library for a basic land card, put it onto the battlefield, then shuffle their library."
Assemble,{4}{G}{W},Instant,Create three 2/2 green and white Elf Knight creature tokens with vigilance.
Assure,{G/W}{G/W},Instant,Put a +1/+1 counter on target creature. That creature gains indestructible until end of turn.
"Atemsis, All-Seeing",{3}{U}{U}{U},Legendary Creature â€” Sphinx,"Flying {2}{U}, {T}: Draw two cards, then discard a card. Whenever Atemsis, All-Seeing deals damage to an opponent, you may reveal your hand. If cards with at least six different converted mana costs are revealed this way, that player loses the game."
Attendant of Vraska,{1}{B}{G},Creature â€” Zombie Soldier,"When Attendant of Vraska dies, if you control a Vraska planeswalker, you gain life equal to Attendant of Vraska's power."
Audacious Thief,{2}{B},Creature â€” Human Rogue,"Whenever Audacious Thief attacks, you draw a card and you lose 1 life."
Augur of Bolas,{1}{U},Creature â€” Merfolk Wizard,"When Augur of Bolas enters the battlefield, look at the top three cards of your library. You may reveal an instant or sorcery card from among them and put it into your hand. Put the rest on the bottom of your library in any order."
"Aurelia, Exemplar of Justice",{2}{R}{W},Legendary Creature â€” Angel,"Flying Mentor (Whenever this creature attacks, put a +1/+1 counter on target attacking creature with lesser power.) At the beginning of combat on your turn, choose up to one target creature you control. Until end of turn, that creature gets +2/+0, gains trample if it's red, and gains vigilance if it's white."
Aven Eternal,{2}{U},Creature â€” Zombie Bird Warrior,"Flying When Aven Eternal enters the battlefield, amass 1. (Put a +1/+1 counter on an Army you control. If you don't control one, create a 0/0 black Zombie Army creature token first.)"
Awaken the Erstwhile,{3}{B}{B},Sorcery,"Each player discards all the cards in their hand, then creates that many 2/2 black Zombie creature tokens."
Awakening of Vitu-Ghazi,{3}{G}{G},Instant,Put nine +1/+1 counters on target land you control. It becomes a legendary 0/0 Elemental creature with haste named Vitu-Ghazi. It's still a land.
Axebane Beast,{3}{G},Creature â€” Beast,nan
"Ayara, First of Locthwain",{B}{B}{B},Legendary Creature â€” Elf Noble,"Whenever Ayara, First of Locthwain or another black creature enters the battlefield under your control, each opponent loses 1 life and you gain 1 life. {T}, Sacrifice another black creature: Draw a card."
Azorius Guildgate,nan,Land â€” Gate,Azorius Guildgate enters the battlefield tapped. {T}: Add {W} or {U}.
Azorius Knight-Arbiter,{3}{W}{U},Creature â€” Human Knight,Vigilance Azorius Knight-Arbiter can't be blocked.
Azorius Locket,{3},Artifact,"{T}: Add {W} or {U}. {W/U}{W/U}{W/U}{W/U}, {T}, Sacrifice Azorius Locket: Draw two cards."
Azorius Skyguard,{4}{W}{U},Creature â€” Human Knight,"Flying, first strike Creatures your opponents control get -1/-0."
Bag of Holding,{1},Artifact,"Whenever you discard a card, exile that card from your graveyard. {2}, {T}: Draw a card, then discard a card. {4}, {T}, Sacrifice Bag of Holding: Return all cards exiled with Bag of Holding to their owner's hand."
Bake into a Pie,{2}{B}{B},Instant,"Destroy target creature. Create a Food token. (It's an artifact with ""{2}, {T}, Sacrifice this artifact: You gain 3 life."")"
Band Together,{2}{G},Instant,Up to two target creatures you control each deal damage equal to their power to another target creature.
Banehound,{B},Creature â€” Nightmare Hound,"Lifelink, haste"
Banish into Fable,{4}{W}{U},Instant,"When you cast this spell from your hand, copy it if you control an artifact, then copy it if you control an enchantment. You may choose new targets for the copies. Return target nonland permanent to its owner's hand. You create a 2/2 white Knight creature token with vigilance."
Bankrupt in Blood,{1}{B},Sorcery,"As an additional cost to cast this spell, sacrifice two creatures. Draw three cards."
Barge In,{R},Instant,Target attacking creature gets +2/+2 until end of turn. Each attacking non-Human creature gains trample until end of turn.
Barging Sergeant,{4}{R},Creature â€” Minotaur Soldier,"Haste Mentor (Whenever this creature attacks, put a +1/+1 counter on target attacking creature with lesser power.)"
Barkhide Troll,{G}{G},Creature â€” Troll,"Barkhide Troll enters the battlefield with a +1/+1 counter on it. {1}, Remove a +1/+1 counter from Barkhide Troll: Barkhide Troll gains hexproof until end of turn. (It can't be the target of spells or abilities your opponents control.)"
Barony Vampire,{2}{B},Creature â€” Vampire,nan
Barrier of Bones,{B},Creature â€” Skeleton Wall,"Defender When Barrier of Bones enters the battlefield, surveil 1. (Look at the top card of your library. You may put that card into your graveyard.)"
Barrow Witches,{4}{B},Creature â€” Human Warlock,"When Barrow Witches enters the battlefield, return target Knight card from your graveyard to your hand."
Bartered Cow,{3}{W},Creature â€” Ox,"When Bartered Cow dies or when you discard it, create a Food token. (It's an artifact with ""{2}, {T}, Sacrifice this artifact: You gain 3 life."")"
Bartizan Bats,{3}{B},Creature â€” Bat,Flying (This creature can't be blocked except by creatures with flying or reach.)
Basilica Bell-Haunt,{W}{W}{B}{B},Creature â€” Spirit,"When Basilica Bell-Haunt enters the battlefield, each opponent discards a card and you gain 3 life."
Bastion Enforcer,{2}{W},Creature â€” Dwarf Soldier,nan
Battalion Foot Soldier,{2}{W},Creature â€” Human Soldier,"When Battalion Foot Soldier enters the battlefield, you may search your library for any number of cards named Battalion Foot Soldier, reveal them, put them into your hand, then shuffle your library."
Battle Display,{R},Sorcery â€” Adventure,Destroy target artifact. (Then exile this card. You may cast the creature later from exile.)
Battlefield Promotion,{1}{W},Instant,Put a +1/+1 counter on target creature. That creature gains first strike until end of turn. You gain 2 life.
Beacon Bolt,{1}{U}{R},Sorcery,Beacon Bolt deals damage to target creature equal to the total number of instant and sorcery cards you own in exile and in your graveyard. Jump-start (You may cast this card from your graveyard by discarding a card in addition to paying its other costs. Then exile this card.)
Beamsplitter Mage,{U}{R},Creature â€” Vedalken Wizard,"Whenever you cast an instant or sorcery spell that targets only Beamsplitter Mage, if you control one or more other creatures that spell could target, choose one of those creatures. Copy that spell. The copy targets the chosen creature."
Beanstalk Giant,{6}{G},Creature â€” Giant,Beanstalk Giant's power and toughness are each equal to the number of lands you control.
Beast Whisperer,{2}{G}{G},Creature â€” Elf Druid,"Whenever you cast a creature spell, draw a card."
Bedazzle,{4}{B}{R},Instant,Destroy target nonbasic land. Bedazzle deals 2 damage to target opponent or planeswalker.
Bedeck,{B/R}{B/R},Instant,Target creature gets +3/-3 until end of turn.
Bedevil,{B}{B}{R},Instant,"Destroy target artifact, creature, or planeswalker."
Befuddle,{2}{U},Instant,Target creature gets -4/-0 until end of turn. Draw a card.
Belle of the Brawl,{2}{B},Creature â€” Human Knight,"Menace (This creature can't be blocked except by two or more creatures.) Whenever Belle of the Brawl attacks, other Knights you control get +1/+0 until end of turn."
Beloved Princess,{W},Creature â€” Human Noble,Lifelink Beloved Princess can't be blocked by creatures with power 3 or greater.
Benthic Biomancer,{U},Creature â€” Merfolk Wizard Mutant,"{1}{U}: Adapt 1. (If this creature has no +1/+1 counters on it, put a +1/+1 counter on it.) Whenever one or more +1/+1 counters are put on Benthic Biomancer, draw a card, then discard a card."
Bioessence Hydra,{3}{G}{U},Creature â€” Hydra Mutant,"Trample Bioessence Hydra enters the battlefield with a +1/+1 counter on it for each loyalty counter on planeswalkers you control. Whenever one or more loyalty counters are put on planeswalkers you control, put that many +1/+1 counters on Bioessence Hydra."
Biogenic Ooze,{3}{G}{G},Creature â€” Ooze,"When Biogenic Ooze enters the battlefield, create a 2/2 green Ooze creature token. At the beginning of your end step, put a +1/+1 counter on each Ooze you control. {1}{G}{G}{G}: Create a 2/2 green Ooze creature token."
Biogenic Upgrade,{4}{G}{G},Sorcery,"Distribute three +1/+1 counters among one, two, or three target creatures, then double the number of +1/+1 counters on each of those creatures."
Biomancer's Familiar,{G}{U},Creature â€” Mutant,"Activated abilities of creatures you control cost {2} less to activate. This effect can't reduce the amount of mana an ability costs to activate to less than one mana. {T}: The next time target creature adapts this turn, it adapts as though it had no +1/+1 counters on it."
Bishop of Wings,{W}{W},Creature â€” Human Cleric,"Whenever an Angel enters the battlefield under your control, you gain 4 life. Whenever an Angel you control dies, create a 1/1 white Spirit creature token with flying."
Blacklance Paragon,{1}{B},Creature â€” Human Knight,"Flash When Blacklance Paragon enters the battlefield, target Knight gains deathtouch and lifelink until end of turn."
Blade Instructor,{2}{W},Creature â€” Human Soldier,"Mentor (Whenever this creature attacks, put a +1/+1 counter on target attacking creature with lesser power.)"
Blade Juggler,{4}{B},Creature â€” Human Rogue,"Spectacle {2}{B} (You may cast this spell for its spectacle cost rather than its mana cost if an opponent lost life this turn.) When Blade Juggler enters the battlefield, it deals 1 damage to you and you draw a card."
Bladebrand,{1}{B},Instant,Target creature gains deathtouch until end of turn. (Any amount of damage it deals to a creature is enough to destroy it.) Draw a card.
Blast Zone,nan,Land,"Blast Zone enters the battlefield with a charge counter on it. {T}: Add {C}. {X}{X}, {T}: Put X charge counters on Blast Zone. {3}, {T}, Sacrifice Blast Zone: Destroy each nonland permanent with converted mana cost equal to the number of charge counters on Blast Zone."
Bleeding Edge,{1}{B}{B},Sorcery,"Up to one target creature gets -2/-2 until end of turn. Amass 2. (Put two +1/+1 counters on an Army you control. If you don't control one, create a 0/0 black Zombie Army creature token first.)"
Blightbeetle,{1}{B},Creature â€” Insect,"Protection from green (This creature can't be blocked, targeted, dealt damage, enchanted, or equipped by anything green.) Creatures your opponents control can't have +1/+1 counters put on them."
Blindblast,{2}{R},Instant,Blindblast deals 1 damage to target creature. That creature can't block this turn. Draw a card.
Blood Burglar,{1}{B},Creature â€” Vampire Rogue,"As long as it's your turn, Blood Burglar has lifelink. (Damage dealt by this creature also causes you to gain that much life.)"
Blood Crypt,nan,Land â€” Swamp Mountain,"({T}: Add {B} or {R}.) As Blood Crypt enters the battlefield, you may pay 2 life. If you don't, it enters the battlefield tapped."
Blood Operative,{1}{B}{B},Creature â€” Vampire Assassin,"Lifelink When Blood Operative enters the battlefield, you may exile target card from a graveyard. Whenever you surveil, if Blood Operative is in your graveyard, you may pay 3 life. If you do, return Blood Operative to your hand."
Blood for Bones,{3}{B},Sorcery,"As an additional cost to cast this spell, sacrifice a creature. Return a creature card from your graveyard to the battlefield, then return another creature card from your graveyard to your hand."
Bloodfell Caves,nan,Land,"Bloodfell Caves enters the battlefield tapped. When Bloodfell Caves enters the battlefield, you gain 1 life. {T}: Add {B} or {R}."
Bloodhaze Wolverine,{1}{R},Creature â€” Wolverine,"Whenever you draw your second card each turn, Bloodhaze Wolverine gets +1/+1 and gains first strike until end of turn."
Bloodmist Infiltrator,{2}{B},Creature â€” Vampire,"Whenever Bloodmist Infiltrator attacks, you may sacrifice another creature. If you do, Bloodmist Infiltrator can't be blocked this turn."
Bloodsoaked Altar,{4}{B}{B},Artifact,"{T}, Pay 2 life, Discard a card, Sacrifice a creature: Create a 5/5 black Demon creature token with flying. Activate this ability only any time you could cast a sorcery."
Bloodthirsty Aerialist,{1}{B}{B},Creature â€” Vampire Rogue,"Flying Whenever you gain life, put a +1/+1 counter on Bloodthirsty Aerialist."
Bloom Hulk,{3}{G},Creature â€” Plant Elemental,"When Bloom Hulk enters the battlefield, proliferate. (Choose any number of permanents and/or players, then give each another counter of each kind already there.)"
Blossoming Sands,nan,Land,"Blossoming Sands enters the battlefield tapped. When Blossoming Sands enters the battlefield, you gain 1 life. {T}: Add {G} or {W}."
Blow Your House Down,{2}{R},Sorcery,Up to three target creatures can't block this turn. Destroy any of them that are Walls.
Bog Naughty,{3}{B}{B},Creature â€” Faerie,"Flying {2}{B}, Sacrifice a Food: Target creature gets -3/-3 until end of turn."
Bogstomper,{4}{B}{B},Creature â€” Beast,nan
Bolas's Citadel,{3}{B}{B}{B},Legendary Artifact,"You may look at the top card of your library any time. You may play the top card of your library. If you cast a spell this way, pay life equal to its converted mana cost rather than pay its mana cost. {T}, Sacrifice ten nonland permanents: Each opponent loses 10 life."
Bolrac-Clan Crusher,{3}{R}{G},Creature â€” Ogre Warrior,"{T}, Remove a +1/+1 counter from a creature you control: Bolrac-Clan Crusher deals 2 damage to any target."
Bolt Bend,{3}{R},Instant,This spell costs {3} less to cast if you control a creature with power 4 or greater. Change the target of target spell or ability with a single target.
Bond of Discipline,{4}{W},Sorcery,Tap all creatures your opponents control. Creatures you control gain lifelink until end of turn.
Bond of Flourishing,{1}{G},Sorcery,Look at the top three cards of your library. You may reveal a permanent card from among them and put it into your hand. Put the rest on the bottom of your library in any order. You gain 3 life.
Bond of Insight,{3}{U},Sorcery,Each player puts the top four cards of their library into their graveyard. Return up to two instant and/or sorcery cards from your graveyard to your hand. Exile Bond of Insight.
Bond of Passion,{4}{R}{R},Sorcery,Gain control of target creature until end of turn. Untap that creature. It gains haste until end of turn. Bond of Passion deals 2 damage to any other target.
Bond of Revival,{4}{B},Sorcery,Return target creature card from your graveyard to the battlefield. It gains haste until your next turn.
Bone Splinters,{B},Sorcery,"As an additional cost to cast this spell, sacrifice a creature. Destroy target creature."
Bone to Ash,{2}{U}{U},Instant,Counter target creature spell. Draw a card.
Boneclad Necromancer,{3}{B}{B},Creature â€” Human Wizard,"When Boneclad Necromancer enters the battlefield, you may exile target creature card from a graveyard. If you do, create a 2/2 black Zombie creature token."
Bonecrusher Giant,{2}{R},Creature â€” Giant,"Whenever Bonecrusher Giant becomes the target of a spell, Bonecrusher Giant deals 2 damage to that spell's controller."
Book Devourer,{5}{R},Creature â€” Beast,"Trample Whenever Book Devourer deals combat damage to a player, you may discard all the cards in your hand. If you do, draw that many cards."
Boreal Elemental,{4}{U},Creature â€” Elemental,Flying Spells your opponents cast that target Boreal Elemental cost {2} more to cast.
Boros Challenger,{R}{W},Creature â€” Human Soldier,"Mentor (Whenever this creature attacks, put a +1/+1 counter on target attacking creature with lesser power.) {2}{R}{W}: Boros Challenger gets +1/+1 until end of turn."
Boros Guildgate,nan,Land â€” Gate,Boros Guildgate enters the battlefield tapped. {T}: Add {R} or {W}.
Boros Locket,{3},Artifact,"{T}: Add {R} or {W}. {R/W}{R/W}{R/W}{R/W}, {T}, Sacrifice Boros Locket: Draw two cards."
Boulder Rush,{R},Instant â€” Adventure,Target creature gets +2/+0 until end of turn. (Then exile this card. You may cast the creature later from exile.)
Bounty Agent,{1}{W},Creature â€” Human Soldier,"Vigilance {T}, Sacrifice Bounty Agent: Destroy target legendary permanent that's an artifact, creature, or enchantment."
Bounty of Might,{4}{G}{G},Instant,Target creature gets +3/+3 until end of turn. Target creature gets +3/+3 until end of turn. Target creature gets +3/+3 until end of turn.
Bramblefort Fink,{1}{G},Creature â€” Ouphe,{8}: Bramblefort Fink has base power and toughness 10/10 until end of turn. Activate this ability only if you control an Oko planeswalker.
Brazen Borrower,{1}{U}{U},Creature â€” Faerie Rogue,Flash Flying Brazen Borrower can block only creatures with flying.
Breeding Pool,nan,Land â€” Forest Island,"({T}: Add {G} or {U}.) As Breeding Pool enters the battlefield, you may pay 2 life. If you don't, it enters the battlefield tapped."
Brightwood Tracker,{3}{G},Creature â€” Elf Scout,"{5}{G}, {T}: Look at the top four cards of your library. You may reveal a creature card from among them and put it into your hand. Put the rest on the bottom of your library in a random order."
Brimstone Trebuchet,{2}{R},Artifact Creature â€” Wall,"Defender, reach {T}: Brimstone Trebuchet deals 1 damage to each opponent. Whenever a Knight enters the battlefield under your control, untap Brimstone Trebuchet."
Brineborn Cutthroat,{1}{U},Creature â€” Merfolk Pirate,"Flash (You may cast this spell any time you could cast an instant.) Whenever you cast a spell during an opponent's turn, put a +1/+1 counter on Brineborn Cutthroat."
Bring Back,{G/W}{G/W}{G/W}{G/W},Sorcery â€” Adventure,Create two 1/1 white Human creature tokens. (Then exile this card. You may cast the creature later from exile.)
Bring to Life,{2}{U},Sorcery â€” Adventure,Target noncreature artifact you control becomes a 0/0 artifact creature. Put four +1/+1 counters on it.
Bring to Trial,{2}{W},Sorcery,Exile target creature with power 4 or greater.
Bristling Boar,{3}{G},Creature â€” Boar,Bristling Boar can't be blocked by more than one creature.
Brought Back,{W}{W},Instant,Choose up to two target permanent cards in your graveyard that were put there from the battlefield this turn. Return them to the battlefield tapped.
Bulwark Giant,{5}{W},Creature â€” Giant Soldier,"When Bulwark Giant enters the battlefield, you gain 5 life."
Burglar Rat,{1}{B},Creature â€” Rat,"When Burglar Rat enters the battlefield, each opponent discards a card."
Burn Bright,{2}{R},Instant,Creatures you control get +2/+0 until end of turn.
Burning Prophet,{1}{R},Creature â€” Human Wizard,"Whenever you cast a noncreature spell, Burning Prophet gets +1/+0 until end of turn, then scry 1."
Burning-Tree Vandal,{2}{R},Creature â€” Human Rogue,"Riot (This creature enters the battlefield with your choice of a +1/+1 counter or haste.) Whenever Burning-Tree Vandal attacks, you may discard a card. If you do, draw a card."
Burning-Yard Trainer,{4}{R},Creature â€” Human Knight,"Trample, haste When Burning-Yard Trainer enters the battlefield, another target Knight you control gets +2/+2 and gains trample and haste until end of turn."
Callous Dismissal,{1}{U},Sorcery,"Return target nonland permanent to its owner's hand. Amass 1. (Put a +1/+1 counter on an Army you control. If you don't control one, create a 0/0 black Zombie Army creature token first.)"
Camaraderie,{4}{G}{W},Sorcery,"You gain X life and draw X cards, where X is the number of creatures you control. Creatures you control get +1/+1 until end of turn."
Candlelight Vigil,{3}{W},Enchantment â€” Aura,Enchant creature Enchanted creature gets +3/+2 and has vigilance.
Canopy Spider,{1}{G},Creature â€” Spider,Reach (This creature can block creatures with flying.)
Captivating Gyre,{4}{U}{U},Sorcery,Return up to three target creatures to their owners' hands.
Captive Audience,{5}{B}{R},Enchantment,"Captive Audience enters the battlefield under the control of an opponent of your choice. At the beginning of your upkeep, choose one that hasn't been chosen â€” â€¢ Your life total becomes 4. â€¢ Discard your hand. â€¢ Each opponent creates five 2/2 black Zombie creature tokens."
Capture Sphere,{3}{U},Enchantment â€” Aura,"Flash Enchant creature When Capture Sphere enters the battlefield, tap enchanted creature. Enchanted creature doesn't untap during its controller's untap step."
Carnage,{2}{B}{R},Sorcery,Carnage deals 3 damage to target opponent. That player discards two cards.
Carnival,{B/R},Instant,Carnival deals 1 damage to target creature or planeswalker and 1 damage to that permanent's controller.
Carrion Imp,{3}{B},Creature â€” Imp,"Flying When Carrion Imp enters the battlefield, you may exile target creature card from a graveyard. If you do, you gain 2 life."
Cast Off,{3}{W}{W},Sorcery â€” Adventure,Destroy all non-Giant creatures. (Then exile this card. You may cast the creature later from exile.)
Castle Ardenvale,nan,Land,"Castle Ardenvale enters the battlefield tapped unless you control a Plains. {T}: Add {W}. {2}{W}{W}, {T}: Create a 1/1 white Human creature token."
Castle Embereth,nan,Land,"Castle Embereth enters the battlefield tapped unless you control a Mountain. {T}: Add {R}. {1}{R}{R}, {T}: Creatures you control get +1/+0 until end of turn."
Castle Garenbrig,nan,Land,"Castle Garenbrig enters the battlefield tapped unless you control a Forest. {T}: Add {G}. {2}{G}{G}, {T}: Add six {G}. Spend this mana only to cast creature spells or activate abilities of creatures."
Castle Locthwain,nan,Land,"Castle Locthwain enters the battlefield tapped unless you control a Swamp. {T}: Add {B}. {1}{B}{B}, {T}: Draw a card, then you lose life equal to the number of cards in your hand."
Castle Vantress,nan,Land,"Castle Vantress enters the battlefield tapped unless you control an Island. {T}: Add {U}. {2}{U}{U}, {T}: Scry 2."
Casualties of War,{2}{B}{B}{G}{G},Sorcery,Choose one or more â€” â€¢ Destroy target artifact. â€¢ Destroy target creature. â€¢ Destroy target enchantment. â€¢ Destroy target land. â€¢ Destroy target planeswalker.
Catacomb Crocodile,{4}{B},Creature â€” Crocodile,nan
Cauldron Familiar,{B},Creature â€” Cat,"When Cauldron Familiar enters the battlefield, each opponent loses 1 life and you gain 1 life. Sacrifice a Food: Return Cauldron Familiar from your graveyard to the battlefield."
